"account","2023-01","2023-02","2023-03","2023-04","2023-05","average"
"Expenses:Telekommunikation:Telefon:Handy","25,00 EUR","25,00 EUR","25,00 EUR","25,00 EUR","0","20,00 EUR"
"Expenses:Wohnen:Miete","499,20 EUR","500,00 EUR","500,00 EUR","500,00 EUR","0","399,84 EUR"
"Expenses:Wohnen:Nebenkosten:Strom","48,00 EUR","50,00 EUR","48,00 EUR","50,00 EUR","0","39,20 EUR"
"Expenses:Fahrtkosten:Fahrkarten:Bahn","20,00 EUR","11,70 EUR","31,70 EUR","10,00 EUR","11,70 EUR","17,02 EUR"
"Expenses:Fahrtkosten:Fahrkarten:Abo","0","0","0","0","49,00 EUR","9,80 EUR"
"Expenses:Gesundheit:Medikamente:Apotheke","0","96,10 EUR","0","7,95 EUR","0","20,81 EUR"
"Expenses:Hobbies:Gaming:Nintendo","8,12 EUR","0","28,47 EUR","0","0","7,32 EUR"
"Expenses:Hobbies:Gaming:Steam","69,77 EUR","19,99 EUR","0","0","22,49 EUR","22,45 EUR"
"Expenses:Hobbies:Gaming:Amazon","0","0","0","8,99 EUR","0","1,80 EUR"
"Expenses:Hobbies:Merch:PayPal","200,00 EUR","0","38,00 EUR","0","0","47,60 EUR"
"Expenses:Hobbies:Merch:Amazon","0","0","15,99 EUR","0","0","3,20 EUR"
"Expenses:Hobbies:Sonstiges:Amazon","0","0","4,45 EUR","0","0","0,89 EUR"
"Expenses:Hobbies:Sonstiges:PayPal","0","0","125,55 EUR","0","0","25,11 EUR"
"Expenses:Unterhaltung:Konzert","97,26 EUR","0","0","0","0","19,45 EUR"
"Expenses:Unterhaltung:Multimedia:Streaming","38,92 EUR","25,93 EUR","15,98 EUR","25,93 EUR","6,99 EUR","22,75 EUR"
"Expenses:Versicherungen:Brille","0","0","0","10,00 EUR","0","2,00 EUR"
"total","-209,41 EUR","-825,57 EUR","-556,67 EUR","-908,72 EUR","1222,33 EUR","-255,61 EUR"
